コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
2186,20-Feb,71.4,8344072000,633732000,30,53.27,6,6
2193,20-Dec,88,11095929000,151000000,-,-,,
2196,20-Mar,32.2,31430384000,1546777000,16,36.21,0,8
2198,20-Oct,44.1,8746260000,-3981192000,-,-,0,9
2201,20-Mar,55.7,2.09E+11,21230000000,72,30.68,4,9
2204,20-Mar,60.2,36120900000,-1392955000,85,248.04,0,1
2207,20-Mar,61.7,22995000000,-629000000,22,55.43,0,3
2208,20-Mar,61.1,1.18E+11,2919000000,23,28.16,6,10
2209,20-Mar,52.2,42309898000,359510000,24,228.17,0,10
2217,20-Jan,70.1,29523299000,1674299000,100,32.38,0,10
2220,20-Mar,61.6,1.04E+11,5813000000,52,24.09,7,10
2221,20-Mar,74.5,22840120000,173524000,26,7,2,9
2222,20-Mar,78.9,45180501000,6454566000,40,30.36,4,7
2224,20-Mar,36.2,6289973000,393793000,7,9.14,0,10
2226,20-Jun,54.9,37739000000,1012000000,45,33.13,0,0
2229,20-Mar,75.9,2.56E+11,27664000000,50,36.65,1,9
2230,20-May,21.1,2044184000,65305000,-,-,0,0
2264,20-Mar,41.6,5.91E+11,25359000000,60,14.58,3,9
2266,20-Dec,48.7,54948000000,1940000000,20,40.76,0,0
2267,20-Mar,59.5,4.06E+11,45675000000,46,18.95,2,2
2268,20-Dec,56,17441000000,599000000,30,54.5,0,1
2269,20-Mar,56.3,1.25E+12,1.03E+11,150,31.24,5,9
2270,20-Mar,47.3,6.13E+11,17998000000,40,22.26,0,9
2281,20-Mar,45.6,4.18E+11,15636000000,60,34.23,0,10
2282,20-Mar,52.6,1.23E+12,43772000000,90,48.2,0,1
2286,20-Mar,26.2,45175612000,988962000,15,15.27,1,9
2288,20-Mar,56.5,2.46E+11,2617000000,35,53.84,0,0
2291,20-Mar,26.7,25597000000,-536000000,-,-,0,8
2292,20-Feb,46.8,3.52E+11,10703000000,60,28.2,7,10
2293,20-Mar,26.1,29580101000,-86604000,-,-,0,0
2294,20-Feb,76.2,43937000000,2429000000,75,45.3,3,10
2296,20-Mar,58.5,8.52E+11,17266000000,17,43.89,0,3
2300,20-Feb,72.9,6618536000,81031000,11,116.19,0,4
2301,20-Oct,91.3,5720004000,1188411000,30,53,6,9
2303,20-May,88.1,1050916000,290089000,10,11.89,4,7
2304,20-Sep,45.9,11962668000,-1072244000,5,221.39,0,8
2305,20-Feb,68.2,38879090000,3245168000,50,70.2,0,2
2307,20-Mar,61.1,9674939000,721680000,22,33.12,3,9
2309,20-Sep,26.4,76098000000,2605000000,25,32.69,1,3
2315,20-Oct,81.8,6003323000,-679903000,-,-,0,5
2317,20-Mar,63,64552000000,8163000000,20,34.84,4,9
2323,20-Mar,59.8,545411000,5700000,-,-,0,9
2326,20-Mar,79.7,5641805000,2328036000,50,48.3,6,10
2327,20-Mar,62.2,2.75E+11,28387000000,65,29.59,6,10
2329,20-Mar,77.1,59886000000,2978000000,16,40.69,0,0
2331,20-Mar,57.3,4.6E+11,36795000000,70,29.12,7,9
2332,20-Mar,71.6,10314527000,736758000,35,49.81,1,3
2334,20-Mar,80.6,1844098000,26681000,-,-,0,0
2335,20-Mar,69.6,14708096000,959012000,18,63.65,0,9
2337,20-Feb,30.1,87360000000,27721000000,7,41.69,0,10
2340,20-Mar,16.5,14597905000,-348908000,-,-,0,9
2341,20-Feb,88.8,4550251000,190101000,7,105.68,0,3
2344,20-Mar,56.9,9801903000,1758544000,27,28.19,5,9
2345,20-Oct,64.5,1859614000,34872000,6.61,8.98,0,4
2349,20-Mar,71.4,18017074000,1940359000,22,18.83,1,9
2351,20-Mar,67.9,2482778000,25070000,2,64.76,0,9
2352,20-Mar,79.4,1875840000,462511000,23,25.13,9,9
2353,20-Jul,27.4,22979793000,2672776000,4.5,117.72,9,9
2354,20-Feb,33.8,13794354000,585163000,6,28.7,0,3
2359,20-Mar,61,20997367000,1800724000,27,24.09,2,6
2362,20-Sep,32.1,58669207000,5306311000,35,75.1,0,9
2371,20-Mar,67.8,60978000000,27217000000,40,43.21,9,9
2372,20-Mar,47.2,10593000000,1207000000,40,28.4,0,9
2373,20-Oct,14.1,33984307000,1353543000,35,20.52,0,0
2374,20-Mar,46.6,43167817000,1468388000,15,41.85,9,9
2375,20-Oct,37,19770958000,1002304000,22,14.23,3,8
2376,20-Mar,65.4,13878875000,582707000,12.5,20.74,0,9
2378,20-Mar,40.5,45049105000,3267099000,26,41.33,0,0
2379,20-Feb,74.3,46415333000,14356334000,56,29.92,7,10
2385,20-Jun,75.7,9312499000,1047728000,5,14.3,2,2
2391,20-Jul,83.2,3052636000,729666000,41,60.8,9,9
2393,20-Mar,75.3,19097258000,2155590000,46,47.82,0,5
2395,20-Mar,41.8,14561084000,2228251000,5,4.85,1,1
2397,20-Mar,84.3,361713000,-123317000,-,-,0,4
2398,20-Mar,30.9,91196000000,4240000000,10,36.59,0,8
2408,20-Dec,86.8,1911075000,-367000000,10,-,0,0
2410,20-Sep,68.1,11021168000,-244648000,20,-,1,5
2411,20-Mar,76.9,11115000000,460000000,25,1212.9,0,3
2412,20-Mar,55.4,37271000000,8394000000,25,71.71,8,9
2413,20-Mar,74.9,1.31E+11,34337000000,8.5,20.96,7,9
2415,20-Mar,28.2,85989819000,2002510000,16,28.85,2,2
2417,20-Feb,81.3,3052412000,-333636000,15,-,0,9
2424,20-Jul,18.8,7987918000,-989951000,-,-,0,5
2425,20-Mar,52.8,9055582000,122810000,7,10.57,0,9
2428,20-Jun,34.6,9379528000,817404000,13.15,189.69,0,8
2429,20-Dec,36.1,1.44E+11,6251000000,101.7,15,0,0
2432,20-Mar,70.6,1.21E+11,-45676000000,20,-,0,0
2433,20-Mar,33.6,1.47E+12,55131000000,30,24.1,7,9
2435,20-Mar,7,15132000000,549000000,4,10.53,0,0
2437,20-May,57.1,1719155000,-271469000,-,-,0,0
2438,20-Apr,87,6575955000,709112000,10,36.93,1,9
2440,20-Mar,80.1,30927243000,1821826000,8,34.55,0,1
2445,20-Mar,30.5,46065498000,3703166000,14,24.44,0,3
2449,20-Aug,82,4759000000,241469000,40,89.57,9,9
2453,20-Sep,35.8,12057491000,1367847000,16,50.45,5,5
2454,20-Mar,65.1,15604645000,430627000,3,13.11,0,0
2459,20-May,64.6,1927915000,-10912000,-,-,0,6
2461,20-Dec,77.7,29379000000,2852000000,19,72.3,0,9
2462,20-May,25.3,51072226000,2000165000,28,29.63,0,0
2464,20-Mar,57.7,5600989000,160238000,11,352.44,1,8
2468,20-Mar,65.8,2735333000,10502000,3,-,0,0
2469,20-Mar,30.4,40825821000,1267662000,35,50.16,1,2
2471,20-Nov,39.4,21009000000,2228000000,3.3,10,0,0
2475,20-Mar,72.8,43108338000,4956135000,27.5,15.61,4,4
2477,20-Jun,90.8,1650002000,1163733000,26.5,27.85,5,5
2479,20-Mar,50.8,3034411000,141206000,1,18.99,0,10
2480,20-Mar,82.7,1065711000,425766000,28,22.62,2,9
2481,20-Jun,89.6,2810492000,123501000,12,92.08,0,9
2483,20-Mar,73,11550579000,813505000,42,38.08,5,9
2484,20-Aug,79.1,10306463000,-2623102000,-,-,0,7
2485,20-Sep,66.3,11919000000,595000000,20,103.77,3,5
2487,20-Mar,76.9,9936197000,363440000,26,63.44,0,3
2488,20-Mar,57.4,6245122000,470997000,25,32.89,0,2
2489,20-Mar,64.6,37304590000,197114000,2.5,80.93,1,3
2491,20-Dec,65.3,29171000000,6218000000,41,26.49,3,3
2493,20-Nov,74.9,5653000000,265000000,5,19.07,0,5
2497,20-Mar,78.3,20911573000,5101046000,13,78.26,0,0
2498,20-Sep,25.2,62880920000,2707011000,42.5,14.29,6,9
2531,20-Mar,52.1,2.81E+11,15836000000,20,40.01,5,5
2540,20-Mar,87.3,10478935000,598984000,40,70.11,0,9
2588,20-Mar,15.7,45453000000,1859631000,-,-,0,5
2590,20-Jan,53.9,1.68E+11,2893000000,60,55.91,0,10
2593,20-Apr,51,4.83E+11,19940000000,40,66.56,0,9
2594,20-Mar,69.5,62664000000,531000000,20,53.79,0,7
2599,20-Mar,36.1,15672485000,408105000,27,108.76,0,6
2602,20-Mar,50.2,3.33E+11,13133000000,80,35.05,2,9
2607,20-Mar,42.3,4.15E+11,23598000000,56,27.29,7,9
2608,20-Mar,41.1,12303700000,-255314000,-,-,0,0
2612,20-Mar,73.1,33781000000,3255000000,110,43.3,0,0
2613,20-Mar,60.6,1.78E+11,6661000000,100,30.42,0,9
2651,20-Feb,20,7.3E+11,62943000000,150,100.77,0,0
2652,20-Sep,47,9017937000,257274000,1,4.76,0,9
2653,20-Feb,14.3,2.05E+11,625000000,10,63.51,0,5
2654,20-Mar,68.5,19842288000,1183226000,10,20.81,0,9
2659,20-Feb,73.3,1.85E+11,10622000000,53,21.63,10,10
2664,20-Mar,50.3,2.7E+11,5675000000,45,26.84,0,10
2666,20-Mar,39.7,7601141000,70090000,-,0,0,10
2668,20-Feb,64.8,15722834000,249044000,30,2702.46,0,9
2669,20-Feb,74.5,84703347000,1728899000,65,45.68,0,9
2670,20-Feb,87,2.72E+11,43374000000,170,52.79,0,10
2674,20-Mar,80.5,19350453000,831504000,40,138.54,0,7
2676,20-Mar,73.2,20616194000,788142000,24,112.14,0,6
2678,20-May,30.1,4E+11,8821000000,38,33.39,0,9
2681,20-Mar,51.6,3.05E+11,10022000000,34,38.35,0,10
2683,20-Feb,16.3,11785444000,112965000,-,-,0,1
2685,20-Feb,58.3,2.22E+11,12885000000,50,41.16,0,2
2686,20-Feb,33.3,89089000000,-2000000000,10,-,0,0
2687,20-Feb,43.7,10427430000,37984000,20,-,0,0
2689,20-Jun,21.6,1.08E+11,927027000,45,70.18,0,9
2692,20-Mar,37.7,6.61E+11,4430000000,75,23.94,0,9
2694,20-Mar,35.8,27981345000,179352000,-,-,0,8
2695,20-Oct,51.9,1.36E+11,350000000,40,-,1,9
2698,20-Nov,44.1,73034000000,1558000000,17,61.36,0,2
2705,20-Mar,37.2,24579663000,-648659000,25,-,0,1
2706,20-Feb,88,6479464000,680675000,26,60.11,0,0
2708,20-Mar,29.5,64356000000,-55000000,6,-,0,9
2714,20-Mar,40,59246818000,1132283000,23,33.01,0,7
2715,20-Mar,55.5,1.76E+11,4765000000,32,43.92,0,0
2722,20-May,37.9,18483995000,590914000,12,23.36,4,9
2726,20-Feb,49.1,1.32E+11,9067000000,50,26.59,1,1
2729,20-Mar,43.3,1.45E+11,3969836000,50,26.69,0,0
2730,20-Mar,51.5,7.34E+11,12284000000,34,35.69,4,4
2733,20-Mar,33.2,7.96E+11,9326000000,85,19.72,5,10
2734,20-Nov,32.1,2.12E+11,5940000000,20,39.68,6,6
2735,20-Aug,48.7,52795694000,1768703000,15,17.38,0,0
2736,20-Aug,10.1,8428324000,-498332000,-,-,0,9
2737,20-Mar,34.2,2.6E+11,4526000000,150,18.1,5,6
2742,20-Feb,44.8,1.35E+11,5290000000,28,15.6,3,10
2747,20-Feb,26,39935114000,400046000,50,28.75,0,9
2749,20-Mar,36.9,31719442000,1538774000,3.9,28.95,2,2
2750,20-Mar,31.8,38179095000,369068000,10,92.99,1,4
2751,20-Apr,61.7,29195000000,1722000000,10,12.4,9,9
2753,20-Mar,83.9,31877000000,1857000000,100,74.27,0,10
2754,20-Mar,68.8,7263817000,350334000,10,20.63,0,10
2760,20-Mar,34.6,1.35E+11,3810000000,90,42.44,0,0
2761,20-May,85.7,42857941000,1918945000,56,23.7,1,9
2762,20-Jun,43.9,7391000000,-2009000000,-,-,0,0
2763,20-Mar,47.1,45887000000,6254000000,61,48.86,7,9
2764,20-Mar,33.1,9887175000,-49279000,-,-,0,0
2767,20-Mar,52.6,66587000000,713000000,10,67.55,0,0
2768,20-Mar,26,1.75E+12,-,17,37.02,0,10
2769,20-May,32.3,29267000000,-286000000,0,-,0,9
2773,20-Mar,60.3,11847509000,1233539000,25,25.44,1,6
2778,20-Feb,32.1,24084286000,504856000,12,41.25,3,5
2780,20-Mar,53.3,57510327000,297475000,24,-,1,9
2782,20-Mar,74,1.81E+11,17604000000,55,34.56,9,10
2784,20-Mar,35,2.7E+12,47645000000,50,25.75,4,4
2789,20-Feb,50,7736022000,57886000,10,-,0,10
2790,20-Mar,64.4,2.18E+11,8319000000,39,21.96,1,10
2791,20-May,49.3,2.12E+11,5935000000,27,9.37,0,9
2792,20-May,85.8,42560202000,2407051000,40,44.31,1,5
2795,20-Mar,73,6638551000,569000000,20,28.21,0,3
2796,20-May,22.6,51030000000,1034000000,14,22.36,0,3
2798,20-Feb,10.2,13732854000,131157000,-,-,0,0
2801,20-Mar,70.3,4.69E+11,39826000000,42,30.33,5,9
2802,20-Mar,39.8,1.1E+12,48773000000,32,93.19,0,9
2804,20-Mar,76.7,17235633000,639979000,35,53.98,0,9
2805,20-Mar,39.6,1.13E+11,7239000000,44,9.72,0,9
2806,20-Mar,86.3,20285000000,1015000000,40,28.38,0,9
2809,20-Nov,53,5.31E+11,28303000000,40,56.57,8,9
2810,20-Mar,67.8,2.94E+11,19005000000,46,39.57,3,4
2811,20-Dec,49.3,1.83E+11,10682000000,36,41.91,0,0
2812,20-Mar,87.6,14921261000,823743000,24,112.66,0,0
2813,20-Mar,43.3,11082323000,235328000,50,-,0,8
2814,20-Mar,92.1,6889483000,979087000,30,10.11,0,9
2815,20-Mar,88.9,52329618000,11789676000,77,29.25,2,9
2816,20-Mar,57.6,21105000000,555000000,18,42.82,0,3
2818,20-Mar,60.9,9548272000,486755000,21,57.64,1,2
2819,20-Mar,67.9,51228000000,2311000000,36,26.79,3,3
2820,20-Jun,45.6,12644927000,362776000,24,18.74,1,3
2830,20-Nov,66.5,20439000000,780000000,20,29.36,3,9
2831,20-Mar,55.6,82852186000,3067894000,46,14.63,0,2
